txt,情感分数,情感类型,分词,主题概率,主题类型
香港女人很作，很任性，也很拜金！# 腾讯新闻 # 《不愿继承父亲百亿家产，父亲花19亿为她招婿，她却玩起了同性恋》不愿继承父亲百亿家产，父亲花19亿为她招婿，她却玩起了同性恋 来自 ​,0.99999999650006,积极,香港 女人 任性 拜金 腾讯 新闻 父亲 父亲 招婿 父亲 父亲 招婿,"[(0, 0.9485647), (1, 0.05143531)]",0
男孩儿与猫，这幅作品，传达的是什么？只看画，明明就是  一个男人，用手指头点向一条狗！而且作品中的男人，这么“温柔”的手指头点向猫？那是女人！我不赞同现在的“艺术”变成  中性美，同性恋！,0.999966856263382,积极,男孩儿 作品 男人 手指头 作品 男人 温柔 手指头 女人 艺术 中性,"[(0, 0.13768734), (1, 0.8623126)]",1
//:我感兴趣了//: 马一下书//://://://@--:马//:对了沉迷英国演艺圈的要不要来补个课可以和为什么同性恋气质成了英国社会一种时尚的《消费文化：20世纪后期英国男性气质和社会空间》搭配观看，链接在原评论,0.999999926649239,积极,感兴趣 英国 演艺圈 气质 英国 社会 时尚 文化 世纪 英国 男性 气质 社会 空间 链接 评论,"[(0, 0.031614073), (1, 0.96838593)]",1
很想敲个吗//:对外国来说确实 和区别很大 所以今天他们都炸了  查看图片 //:还有这个月是美国同性恋骄傲月，不炎上才怪呢你们这些睁眼瞎的有本事对推特4热度说去：神性之爱鞭辟入里，用是对的。看洋妞把不把你锤爆掉。,0.975458978118731,积极,外国 确实 区别 很大 图片 美国 骄傲 不炎 睁眼瞎 热度 神性 洋妞,"[(0, 0.050219577), (1, 0.9497804)]",1
 听歌看评论剧情成功吸引了我，人生第一部同性恋的小说（然后说说今日巧事）今早刷微博看到了汉尚发魔道被挂 去了解了经过顺藤摸瓜还知道了今天第三季广播剧出来微博打开页面就是魔道和康师傅的泡面广告刚看完小说登微博主页第二条就是小梦给魔道联名可爱多做推广也是巧的很刚乱翻还发现《东风志》居然是同人曲！再说说剧情吧，带着同人曲下的评论剧透和分析看的蓝湛这一世一直把魏无羡护在身后让我这个纯纯的直女也好感动还好回来了不负这一世美好的爱情呀分享单曲人世终白首（剧情版）（） 收起,0.999999999999538,积极,评论 剧情 成功 人生 小说 巧事 汉尚发 魔道 广播剧 页面 魔道 康师傅 泡面 广告 小说 主页 魔道 东风 人曲 剧情 人曲 评论 剧透 蓝湛 纯纯 直女 美好 爱情 单曲 人世 白首 剧情,"[(0, 0.9782575), (1, 0.021742607)]",0
靠哈哈哈哈哈哈哈哈哈哈哈哈在理//:搞这么隆重，团里谁是首尔人吗？//:灭爸团//:不知道的还以为韩国同性恋结婚合法了//:派头过于大了（我妈震撼,0.999293565705484,积极,隆重 团里 爸团 韩国 合法,"[(0, 0.1149386), (1, 0.8850614)]",1
这都开倒车//:…///:就像月色真美 改成了 你看着月亮多亮堂 的感觉 //:还有这个月是美国同性恋骄傲月，不炎上才怪呢你们这些睁眼瞎的有本事对推特4热度说去：神性之爱鞭辟入里，用是对的。看洋妞把不把你锤爆掉。,0.885022564313557,积极,月色 月亮 亮堂 感觉 美国 骄傲 不炎 睁眼瞎 热度 神性 洋妞,"[(0, 0.05709567), (1, 0.94290435)]",1
//:对了沉迷英国演艺圈的要不要来补个课可以和为什么同性恋气质成了英国社会一种时尚的《消费文化：20世纪后期英国男性气质和社会空间》搭配观看，链接在原评论,0.999999304864943,积极,英国 演艺圈 气质 英国 社会 时尚 文化 世纪 英国 男性 气质 社会 空间 链接 评论,"[(0, 0.0334452), (1, 0.9665548)]",1
//://:防弹国！//:国旗换色//:下一步统治含国//:灭爸团//:不知道的还以为韩国同性恋结婚合法了//:派头过于大了（我妈震撼,0.92966845116158,积极,国旗 换色 含国 爸团 韩国 合法,"[(0, 0.09061621), (1, 0.9093838)]",1
//: 🌈『 同性恋和异性恋本来就一样，但是同性恋者敢于在当下及以前，正视对世界上对同性恋人群的不理解和迫害，才值得我们骄傲。我们值得骄傲因为我们敢于讲科学，坚持做自己，成为一个自己应该成为的人。』,0.999999999376648,积极,异性恋 同性恋者 世界 人群 骄傲 骄傲 科学,"[(0, 0.08844756), (1, 0.9115524)]",1
《日常对话》，题材的戳心纪录片，探讨了同性平权、性侵、家暴、传统观念等尖锐议题，看完忍不住流泪。素材拍了近20年，总计150多个小时。侯孝贤监制，黄惠侦执导。围绕着导演自己的家庭展开，镜头中的妇人是她的妈妈（一位女同），她的父亲是变态。这是一部私密影像，记录了母女的沟通过程与生存环境。其实同性恋身份对于“我母亲”来说不是最重要的，压在她身上那些封建落后的思想，那些残忍父权话语下她作为一个女人愤懑的沉默，以及母女关系的疏远，是这部纪录片更想说的东西。在细腻温婉的视听语言下，母亲的沉默与疏远所布下的疑团让影片充满张力：母亲为何好像从来不喜欢“我”和妹妹？母亲为什么总把自己打扮成男人的样子？母亲到底经历了什么？终于，我决定走近母亲，当生活的面纱一层层揭下，触目惊心的真相让“我”终于决定坐下来与母亲认真谈一次了。于是就有了这场戏。“我”与母亲坐了下来，开始了“日常对话”。“我”问母亲到底爱没爱过“我”，“我”告诉母亲“我”所经历的，告诉母亲“我”的真实感受，母亲面上表情没有什么变化，眼泪却不自觉淌了下来。两个久受欺凌、遍体鳞伤的女人，终于在这一刻，隔着这张小小的饭桌，在心灵上彼此拥抱、彼此和解了。 局外人看电影的微博视频 收起,1.0,积极,对话 题材 纪录片 同性 平权 家暴 传统观念 尖锐 议题 流泪 素材 总计 小时 侯孝贤 黄惠 家庭 镜头 妇人 妈妈 女同 父亲 变态 私密 记录 母女 过程 身份 母亲 封建 落后 思想 残忍 父权 话语 女人 愤懑 沉默 母女 关系 疏远 纪录片 东西 细腻 温婉 语言 母亲 沉默 疏远 布下 疑团 影片 充满 张力 母亲 妹妹 母亲 男人 样子 母亲 经历 母亲 面纱 母亲 母亲 对话 母亲 母亲 经历 母亲 母亲 表情 眼泪 女人 饭桌 心灵 局外人 电影 微博 视频,"[(0, 0.41450775), (1, 0.58549225)]",1
挽回前任指导超话 情侣分手，是因为理性上，双方存在内核矛盾；而复合，往往是因为感性上，不舍得相恋的温度。因为感性复合，又因为理性而分开，周而复始，恶性循环。做情感咨询这些年，类似的剧情见得太多了，双方分手的原因五花八门，比如三观不合，对于未来的规划不一致；父母不同意，且无力说和；不会沟通，一点小小的矛盾都能升级到鸡飞狗跳；-盼烟 而双方复合的原因出奇的一致；舍不得。找不到解决问题的方法，可是又眷恋糖果的一丝丝甜味。可是吃下去，只是慢性中毒，病入膏肓。复合后，导致争吵的问题依然存在，感情继续消磨，直至双方对彼此失去期待。所以宏桑一直认为，可以尝试挽回感情，但是一定要去了解双方分手的原因。复合之后，通过沟通，协力去解决内核矛盾，感情方能长久。 我是国家二级心理咨询师——盼烟，如果有任何情感上的问题，可以私信向我提问。 收起,1.0,积极,前任 指导 情侣 理性 内核 矛盾 感性 温度 感性 理性 情感 剧情 原因 三观 规划 父母 无力 矛盾 盼烟 原因 出奇 解决问题 方法 糖果 甜味 中毒 感情 宏桑 感情 原因 协力 内核 矛盾 感情 国家 心理咨询 盼烟 情感 私信,"[(0, 0.017197683), (1, 0.98280233)]",1
 分手后适当的冷冻可以为你们的矛盾降温挽回前任指导超话 挽回并不是打铁趁热的事，所以当他离开后不要试图以各种方式纠缠对方。这些极其错误的行为不但不能挽回成功，甚至会增加了对方对你的的厌恶情绪，所以你只需要保持沉默。分手后，大家都需要一定冷静的时间和空间，让彼此剧烈冲突的矛盾降温。当你沉住气狠下冷冻你们的关系，时间会慢慢冲淡他对你的负面情绪，回忆起你的好，这样才能为挽回奠定良好的基础。#分手失恋了怎么挽回前任男友老公出轨分离小三挽救婚姻异地恋异国恋姐弟恋同性恋怎么挽回父母反对如何挽回  情感问题 星座 婚姻 算命 算卦 塔罗牌 占卜 八字 和合 情降 小三 分离 美妆 结婚 舞蹈 美食 摄影 旅游 出国 留学 女追男 水瓶座 双鱼座 白羊座 金牛座 双子座 巨蟹座 狮子座 处女座 天秤座 天蝎座 射手座 摩羯座# 收起,1.0,积极,矛盾 降温 前任 指导 方式 错误 成功 情绪 保持沉默 冷静 时间 空间 剧烈 矛盾 降温 沉住气 关系 时间 冲淡 负面 情绪 基础 前任 男友 老公 婚姻 异地 异国恋 姐弟恋 父母 情感 星座 婚姻 塔罗牌 八字 情降 舞蹈 美食 摄影 女追男 水瓶座 双鱼座 白羊座 金牛座 双子座 巨蟹座 狮子座 处女座 天秤座 天蝎座 射手座 摩羯座,"[(0, 0.022455376), (1, 0.9775446)]",1
我怀疑淘宝已经将我定性为“  ”，给我推荐的店里商品的展示都被时下流行的滤镜所覆盖，评论区里顾客展示的自拍也都是滤镜滤镜黑白构图，同性恋好累啊。 ​,0.928438376792207,积极,淘宝 定性 店里 商品 滤镜 评论 顾客 滤镜 滤镜,"[(0, 0.057889037), (1, 0.94211096)]",1
不是不满，只是一个疑惑，说同性恋无罪的人有多少能容忍特殊性癖捏 ​,0.195908387374745,消极,容忍 特殊性,"[(0, 0.7947868), (1, 0.20521316)]",0
国民都敢这么搞//:对外国来说确实 和区别很大 所以今天他们都炸了  查看图片 //:还有这个月是美国同性恋骄傲月，不炎上才怪呢你们这些睁眼瞎的有本事对推特4热度说去：神性之爱鞭辟入里，用是对的。看洋妞把不把你锤爆掉。,0.861178252132024,积极,国民 外国 确实 区别 很大 图片 美国 骄傲 不炎 睁眼瞎 热度 神性 洋妞,"[(0, 0.0525386), (1, 0.94746137)]",1
我免费围观了  的回答，问题价值 9 元，快来一起免费围观~ 微博问答 ​,0.832612730289269,积极,围观 价值 围观,"[(0, 0.13896568), (1, 0.86103433)]",1
关于两个话题的笑话永远是我的最爱，一个是地域黑，一个是同性恋。 ​,0.462712034204404,中性,话题 笑话 最爱 地域,"[(0, 0.14935124), (1, 0.85064876)]",1
得，天线宝宝也不行！看来啥都不能拍了//:《天线宝宝》中的丁丁，头上的倒三角形天线及身上的紫色，都是同性恋的象征。博主是反对异性恋吗？//: //:天线宝宝做错了什么,0.230281801730015,消极,天线宝宝 天线宝宝 丁丁 倒三角形 天线 紫色 博主 异性恋 天线宝宝,"[(0, 0.92778283), (1, 0.07221718)]",0
印第安纳波利斯大主教查尔斯·汤普森表示，印第安纳州的耶稣会高中——布雷贝夫耶稣会预备学校不能再自称为“天主教学校”，因为它雇佣了一名同性恋教师。印第安纳州总教区在声明中说：“为了有效地见证基督的存在，无论他们是否教授宗教，所有在职业和私人生活中的牧师都必须传达并支持天主教的教义。”而布雷贝夫耶稣会预备学校的领导们表示，他们尊重地拒绝了大主教区的指示，没有解雇一名能力出众、资质合格的教师：“虽然印第安纳波利斯的大主教管区可能选择不再参加或参与学校的弥撒和正式活动，但布雷贝夫耶稣会是一所天主教耶稣会学校，而且将永远是。” 收起,1.0,积极,印第安纳波利斯 大主教 查尔斯 汤普森 印第安纳州 耶稣会 布雷 贝夫 耶稣会 学校 天主教 学校 教师 印第安纳州 教区 声明 基督 教授 宗教 职业 私人生活 牧师 天主教 教义 布雷 贝夫 耶稣会 学校 领导 尊重 大主教 能力 出众 资质 合格 教师 印第安纳波利斯 大主教 管区 学校 正式 布雷 贝夫 耶稣会 天主教 耶稣会 学校,"[(0, 0.9876213), (1, 0.01237871)]",0
// :// :// :对外国来说确实 和区别很大 所以今天他们都炸了 查看图片 // :还有这个月是美国同性恋骄傲月，不炎上才怪呢你们这些睁眼瞎的有本事对推特4热度说去：神性之爱鞭辟入里，用是对的。看洋妞把不把你锤爆掉。,0.954340787849718,积极,外国 确实 区别 很大 图片 美国 骄傲 不炎 睁眼瞎 热度 神性 洋妞,"[(0, 0.050232675), (1, 0.94976735)]",1
薫真嗣//:对外国来说确实 和区别很大 所以今天他们都炸了  查看图片 //:还有这个月是美国同性恋骄傲月，不炎上才怪呢你们这些睁眼瞎的有本事对推特4热度说去：神性之爱鞭辟入里，用是对的。看洋妞把不把你锤爆掉。,0.987978685739064,积极,外国 确实 区别 很大 图片 美国 骄傲 不炎 睁眼瞎 热度 神性 洋妞,"[(0, 0.05022732), (1, 0.9497727)]",1
//://:看看//://://@--:马//:对了沉迷英国演艺圈的要不要来补个课可以和为什么同性恋气质成了英国社会一种时尚的《消费文化：20世纪后期英国男性气质和社会空间》搭配观看，链接在原评论,0.99999986995603,积极,英国 演艺圈 气质 英国 社会 时尚 文化 世纪 英国 男性 气质 社会 空间 链接 评论,"[(0, 0.033448424), (1, 0.9665516)]",1
//·明:哈哈哈哈评论震撼我//:这是同性恋的宣传片？,0.99078730616954,积极,评论 宣传片,"[(0, 0.45988393), (1, 0.5401161)]",1
// :// :？// :对外国来说确实 和区别很大 所以今天他们都炸了 查看图片 // :还有这个月是美国同性恋骄傲月，不炎上才怪呢你们这些睁眼瞎的有本事对推特4热度说去：神性之爱鞭辟入里，用是对的。看洋妞把不把你锤爆掉。,0.938946009358458,积极,外国 确实 区别 很大 图片 美国 骄傲 不炎 睁眼瞎 热度 神性 洋妞,"[(0, 0.05023203), (1, 0.94976795)]",1
