评论内容,fenci
我是个吃货，还有轻微强迫症，厨房干净卫生，看起来很舒服。位置也比较便利，在大学城附近，出去找小吃也方便，还可以顺便爬个岳麓山。院子里的橘子树看起来很诱人，哈哈哈。房间带了个阳台，坐在外面喝个奶茶咖啡还挺有情调的，就是这几天有点冷。整体来说，锦霖民宿性价比超高，值得推荐。,吃货 强迫症 厨房 干净 卫生 舒服 位置 便利 大学城 小吃 顺便 院子 橘子 诱人 房间 阳台 坐在 奶茶 咖啡 情调 整体 锦霖 民宿 性价比 超高 值得 推荐
外卖很快，几分钟就到了，这里离大学城很近，附近吃的很多（对于我这吃货而言）这个地方很好，不出门就可以享受大学城美食，而且非常安静，早晨可以清晰的听见鸟叫声，这里卫生真的很干净整洁，,外卖 大学城 吃货 地方 出门 享受 大学城 美食 清晰 听见 鸟叫声 卫生 干净 整洁
院房很漂亮，这个庭院很有秋天的感觉，银杏树叶满地，还有专门喝茶的地方，我住一楼但很安静，对了网络效果特别好，打游戏不卡，网速超快，这个必须赞，这个民宿应该是大学城附近最好的民宿了,院房 很漂亮 庭院 感觉 满地 喝茶 地方 一楼 网络 效果 不卡 网速 超快 民宿 大学城 民宿
空调效果一级棒，热水也很好，而且真的特别干净，是我见过的最干净的民宿没有之一，老板娘也很好！这个房间阳光采光很好，在休闲椅上坐着发发呆挺好的！很不错的名宿推荐给大家哦 服务：好,空调 效果 热水 干净 干净 民宿 老板娘 房间 采光 休闲椅 发呆 不错 名宿 推荐
一个人单独旅游外出，偶然住进这个民宿。房间整体不错，前面庭院很大，晚上还可以去三楼的露台坐着看夜景。出行也很方便，出去就是小吃街，因有尽有。老板娘特别好，给我介绍了周边好玩的、好吃的。下次有机会再来！,外出 民宿 房间 整体 不错 庭院 很大 露台 夜景 出行 小吃街 老板娘 介绍 好玩 好吃 机会
小院子真的大，里面环境很好，桔子熟了，还不错，挺甜的，我住的二楼，房间精致，空气好，安静，超干净，布草质量真的好，好舒服，一般酒店这种品质布草至少单间上了500以上了，这里性价比高；还带个露台，惊喜的发现，鸟妈妈在树上带鸟宝宝，这个必须发。除了进来需走一段小巷，其他的真的非常不错，强烈推荐给大家,院子 环境 桔子 不错 二楼 房间 精致 空气 干净 质量 舒服 酒店 品质 单间 性价比 露台 惊喜 发现 妈妈 需走 小巷 不错
特意定了个巨幕房，投影仪很棒，大屏，极米的，对于我来说大爱这款采光一级棒，空调效果可以，还有一个露台，在露台上喝喝茶，晒晒太阳，非常好,巨幕 投影仪 很棒 大屏 采光 空调 效果 露台 露台 喝茶 晒太阳
位置优越，位于大学城商圈内，出去几百米就是小吃街。新开业的独栋别墅，能看得出店家很用心，还有室外的玻璃房、山景房哈哈哈哈哈哈下次有机会还来！！,位置 优越 位于 大学城 商圈 小吃街 别墅 看得出 店家 用心 玻璃房 山景 机会
超赞房东！心情不美丽独游岳麓山，网上搜了一家开业不久的民宿，一进院子，简直太治愈我了，院子超大，房间也很干净，顿时烦恼消了一大半，露台上还看到了一只鸟妈妈在掉完的树枝上带鸟宝宝，还有只会讲话的鹦鹉，老板娘热心的帮我开导，耐心倾听我的烦恼，结果哪里都没去，就游了个民宿，明天又是活力满满一天，给自己加油，再次谢谢热情老板娘，还会再来哦！,超赞 房东 心情 独游 开业 民宿 院子 治愈 院子 超大 房间 干净 烦恼 露台 妈妈 掉完 树枝 讲话 鹦鹉 老板娘 热心 开导 耐心 倾听 烦恼 没去 民宿 活力 满满 加油 热情 老板娘
民宿环境真的好，推开铁门院子很大，非常安静，还有外卖很快，院子里吃吃喝喝，享受着安静的慢生活，院子鱼池上桔子熟了，来到了民宿后院摘桔子，后院也好大，整体环境在岳麓山这一遍真的难觅第二家,民宿 环境 推开 铁门 院子 很大 外卖 院子 享受 院子 鱼池 桔子 来到 民宿 后院 桔子 后院 整体 环境 难觅
出巷子很繁华，大学城好多吃的，好好吃，进巷子大慨4，5分钟到迖此地，这里很安静，背靠个岳麓山公区比较大，很漂亮，看得出老板娘是很用心的,巷子 繁华 大学城 好吃 巷子 背靠 公区 很漂亮 看得出 老板娘 用心
这家民宿非常奈斯，小院很大，顶楼还可赏夜景，房间温馨舒适，大大的窗户采光非常好，房间非常干净，物品摆放整齐有序，给人一股清新自然，住着也很宽敞舒适，远离城市喧闹，出巷口又非常繁华，小吃巨多，十个肚子都不够，还有外卖贼快，让人心情愉快一！,民宿 小院 很大 顶楼 可赏 夜景 房间 舒适 窗户 采光 房间 干净 物品 摆放 宽敞 舒适 远离 喧闹 繁华 小吃 肚子 外卖
民宿整体很好看 布局也不错 室内卫生 设施都很令人满意！还配备一次性马桶垫 这是最令人满意的阿姨人也很好 很贴心 会告诉我们哪里好玩 好吃！真的是一次很不错的入住体验！,民宿 整体 好看 布局 不错 卫生 设施 配备 马桶 贴心 告诉 好玩 好吃 不错 入住 体验
国庆后错峰游岳麓山，想着酒店不紧张，加上自己卫生环境要求比较高，网上我也看了还是想来个现场定，真没另我失望，推开铁门户外空间真大，又非常安静，我告诉老板娘我怕冷，老板娘很热情马上就把热水调高了，水压也很大，美美的洗了澡，房间里面非常干净，布草很好，超级舒服，简约，高级，是我喜欢的风格，谢谢老板娘，提前预定好计划重阳节带父母来爬爬岳麓山！,错峰 想着 酒店 紧张 卫生 环境 想来 现场 失望 推开 铁门 空间 告诉 老板娘 怕冷 老板娘 热情 热水 调高 水压 很大 房间 干净 舒服 喜欢 风格 老板娘 提前 预定 计划 重阳节 父母
一进院子就被吸引住了，超大院子还养了金鱼，少有的静谧，空气很好，房间非常干净，热水水压很大，稍微多走几步太值了，外卖超级快，门口看到茶颜悦色排长队，网上下了一单，十分钟不到就到了，重点是老板娘超级，很热情又有耐心，随叫随到，对于房东我想说：好！很好，非常好！,院子 超大 院子 还养 金鱼 少有 空气 房间 干净 热水 水压 很大 太值 外卖 排长队 一单 不到 重点 老板娘 热情 耐心 房东
去岳麓山非常方便步行十分钟即可到达南门，爱晚亭，岳麓书院就在门口，溜达就到了，主要是老板娘人非常奈斯！出来接送，周边介绍，房间干净，舒适，晚上特别安静，马桶是加热的哦！整体高级简约，门大学城吃什么喝什么非常快乐！,步行 到达 溜达 老板娘 接送 介绍 房间 干净 舒适 马桶 加热 整体 大学城 快乐
和闺蜜一起出游，民宿下来5分钟就到小吃一条街，全是好吃的，长长的队伍很吓人民宿里面非常干净，布草质量特别好，空调效果很棒,闺蜜 民宿 小吃 一条街 好吃 队伍 干净 质量 空调 效果 很棒
民宿位于大学城，去岳麓山、岳麓书院、博物馆和橘子洲头都很方便。一整条街都是各种长沙特色小吃，价格亲民，点外卖十五分钟就送来了，速度超快。老板很亲切很热情，床很舒服，智能马桶深得我心，可以带宠物，有麻将房，还有露台可以看夜景。是这一片最有调调的民宿了。,民宿 位于 大学城 博物馆 特色小吃 价格 亲民 外卖 送来 速度 超快 老板 亲切 热情 舒服 智能 马桶 宠物 麻将 露台 夜景 调调 民宿
超赞房东晚上20: 00多才到店，房东亲自来接，超级热情，民宿环境非常优美，在岳麓山半山腰上，非常安静，院子超大，周围有花园和鱼池，让人心旷神怡。房间设施齐全，今天变冷了，热水水压大，房间非常干净整洁，让人舒适放松，美美的睡了一觉，下次还会光顾,超赞 房东 房东 热情 民宿 环境 优美 院子 超大 花园 鱼池 房间 设施 热水 水压 房间 干净 整洁 舒适 放松 光顾
民宿新开业的很干净，全新的没备，智能马桶，特别是被子又不重，很保暖，靠着岳麓山，非常安静，公区很大，适合带孩子过来玩,民宿 干净 没备 智能 马桶 被子 不重 保暖 公区 很大 适合 孩子
第一印象是很亲近大自然，环境优美，空气好，小院打得很整洁，房间内层高高，非常干净，布草品质好，整个晚上都很安静，热水水压大，整个入住体验非常舒服，值得推荐。,环境优美 空气 小院 整洁 房间 内层 高高 干净 品质 热水 水压 入住 体验 舒服 值得 推荐
民宿位置很好，背靠着岳麓山，又离主要景点和大学城美食近。房间和图片一致（个人感觉实地更好看.）干净舒适，床铺非常舒适。设施很好，民宿主超级热情能满足你一切合理要求（借电动车出门了一趟，房间需要用电脑又帮我配置了舒适椅子晚上办公）这是一家非常不错的民宿，强烈推荐！”,民宿 位置 背靠 景点 大学城 美食 房间 图片 个人感觉 实地 干净 舒适 床铺 舒适 设施 宿主 热情 电动车 出门 房间 电脑 配置 舒适 椅子 办公 不错 民宿
房东超赞，非常热情，到处借充电器给我电动车充电，环境非常好，背靠岳麓山，空气清新，很安静，房间非常干净，一尘不染，干净整洁，卫生5分都不够，智能马桶我的最爱，爱好追求自然，放松身心好地方，强烈推荐。,房东 超赞 热情 充电器 电动车 充电 环境 背靠 房间 干净 干净 整洁 卫生 智能 马桶 最爱 爱好 追求 放松 身心 地方
民宿院子幽静、典雅，房间宽敞、干净、整洁，一切都是新的，老板娘人好，可亲，家的感觉，非常满意，下次来还住这个地方！,民宿 院子 幽静 典雅 房间 宽敞 干净 整洁 老板娘 可亲 感觉 满意 地方
卫生非常干净，房东本地人超好，就是一长沙百事通，长沙本地的吃，喝玩，乐，我玩了够，太开心了，晚上非常安静，风景好，亲自来接的我，真的舍不得走了,卫生 干净 房东 本地人 超好 开心 风景 来接 舍不得
房间非常干净，服务态度很好。 去岳麓山，岳麓书院，爱晚亭，走路10多分钟。 是这一块最有情调的民宿。,房间 干净 服务态度 走路 情调 民宿
酒店房间装修很好，里面干净整洁，床品舒适，很精致，也很有品味，老板娘应该花了不少心思，电器设备空调感觉全新，体验后，感觉还是比较爽，有种宾至如归的感觉。 环境优雅，空气清新，做到了闹中取静，交通便利，出行也方便。老板娘，热情大方，有问必答，服务态度很友好，也很周到。 这样的房间价格也合理，性价比高，物有所值。很值得大家体验体验。,酒店 房间 装修 干净 整洁 床品 舒适 精致 品味 老板娘 心思 电器设备 空调 感觉 体验 感觉 感觉 环境 优雅 交通 便利 出行 老板娘 热情 大方 服务态度 友好 周到 房间 价格 性价比 值得 体验 体验
民宿安静漂亮整洁舒适，还送了橙子，服务很好,民宿 漂亮 整洁 舒适 橙子
环境不错，就是隔音不好，晚上打麻将要被投诉,环境 不错 隔音 打麻将 投诉
房间很干净，而且特别特别安静，有玩具，宝宝马上安静下来不吵了，大爱房东。,房间 干净 玩具 房东
